,day,time,user,message
403,2022-03-02,01:57:48,allexxx1996,PepePls nayeonEars uhleeeL garruk3Kiss chubbe1Snuggle
404,2022-03-02,01:57:50,garruku,chubbe1POGGING PepePls
405,2022-03-02,01:57:53,dcbiscuits,phuket yea
406,2022-03-02,01:57:53,y_exp,"@FreshDnB, nayeonEars PepePls"
407,2022-03-02,01:57:53,firebat1989,PepePls
408,2022-03-02,01:57:55,kaitypure,"@FreshDnB, sanaSnuggle"
409,2022-03-02,01:57:56,jondoni,this looks like u going to go watch tigers LULW
410,2022-03-02,01:57:57,tawpeeg,sanaSnuggle
411,2022-03-02,01:57:57,chanock90,Sup Vick & Ark you cute mfs!
412,2022-03-02,01:58:02,neilvegas2,look out for the big poo
413,2022-03-02,01:58:02,nintendoguy,hello jonny
414,2022-03-02,01:58:02,ronzert,Hmm
415,2022-03-02,01:58:03,y_exp,peepoPopcorn
416,2022-03-02,01:58:03,mimic5005,yuggie YAAY
417,2022-03-02,01:58:03,"lexingtong subscribed at Tier 1. They've subscribed for 4 months, currently on a 3 month streak!",
418,2022-03-02,01:58:04,aners02 is gifting 1 Tier 1 Subs to Jinnytty's community! They've gifted a total of 118 in the channel!,
419,2022-03-02,01:58:04,aners02 gifted a Tier 1 sub to khomkor!,
420,2022-03-02,01:58:05,arkem232,There’s yuggie
421,2022-03-02,01:58:05,sizzlaa,chubbe1KEK
422,2022-03-02,01:58:05,sinclair_bear,soofloCoffee
423,2022-03-02,01:58:06,dead_teeth,Hmm
424,2022-03-02,01:58:07,ronzert,swimming suit? LUL
425,2022-03-02,01:58:08,shawayeem,PepeLaugh
426,2022-03-02,01:58:09,yvan_nix,CreepyChamp
